User ID,Application_Submission_Number,Previous_Application,Previous_Approved
0a6620a4-d544-4f9e-ac14-73869f0d18ab,1,1,0
408233a7-19bb-49f0-a89d-4a516e13b04c,1,1,1
4d8eb8c5-c5ca-457f-8719-54f80087f30b,1,1,0
5cd4ff60-5869-40e9-bb45-f924224ccb87,1,1,0
643f5b56-5dad-48f3-ab79-65cb9851c769,1,1,0
65d94b7a-6807-4d3f-b372-ec2f5503107d,2,1,0
8f5c232f-64f4-4dac-9e03-ca12cea819da,1,1,0
8f5c232f-64f4-4dac-9e03-ca12cea819da,2,1,0
8f5c232f-64f4-4dac-9e03-ca12cea819da,3,1,0
fd3be31d-423e-42fe-b397-69d718275de6,1,1,0
0a8a00dd-0843-40d6-bbfc-a970dcfe380a,1,1,0
0aa55082-5f89-4440-a575-356200f2dea1,1,1,0
36491707-99d2-42dc-aa85-52453ac89d39,1,1,1
36491707-99d2-42dc-aa85-52453ac89d39,1,1,1
3cc0644b-2d03-42b1-9239-86a91c6ef984,1,1,1
6160757c-175e-47a4-8c83-8b96fb60de41,1,1,0
644ff4a8-dfeb-4cf7-ad78-17e8db99a5fd,1,1,0
6675d228-bd59-4da3-8ff3-97ea7f51a079,1,1,0
66f7aa68-20df-40f6-a6d9-67a2fa68de56,1,1,0
672c0dbb-3351-4134-91bc-61d572aaaee1,1,1,0
8c1c3241-8293-4c92-a467-b8b4cdbdc612,1,1,1
e44de6ae-25b1-47f7-97bf-b12997e801e7,1,1,0
029dc9df-1f7f-4e89-b8e5-245e51c1cbce,1,1,1
073c1efc-e81c-4343-8fcd-ee7e9b3f431a,1,1,0
07dc851c-75ff-4be5-b560-545ddfa0c655,1,1,0
08939952-d49f-4ed2-b3bb-0e4fc21c15f8,1,1,0
18750dca-f2bf-4830-9b88-a5b3730bb8e6,1,1,1
1e7eb2ca-91e0-40a4-954a-9dff7b6126a2,1,1,0
3587fba1-c516-4bc4-b127-792082d0e84b,1,1,1
41c36049-3e33-4695-af57-2ba5766d1ea3,1,1,0
4da5a602-fa09-47cb-ba42-5ec85792b7f1,1,1,0
4dcd847d-d970-4ac9-9e93-8006d615bc18,1,1,0
5f3059e3-b491-41c1-b517-f73eeee27e17,1,1,0
650f839a-1d14-4d93-a4a0-6fc0a2af24d4,1,1,0
65fa1dd5-7c5a-4f3f-b2df-a240786e2dc5,1,1,0
671901fe-f6ac-4959-a39c-a02ec18fe277,1,1,0
b4086671-e2ef-4fd1-bb4d-af732af9140e,1,1,0
cab4b165-a2b4-420d-bc1a-833d418223fd,1,1,0
cab4b165-a2b4-420d-bc1a-833d418223fd,2,1,0
cb27f0dc-0ed1-481a-a3e0-ac44fde78b6b,1,1,0
e37565de-ec3c-4668-ab93-b5d5802a62ec,1,1,0
e3da5cf6-66ac-4c63-a4d6-3ec219b9019a,1,1,0
03c474f0-aa6d-40d0-9bb5-bf371f97c1cb,1,1,0
0ae76aa2-2466-45eb-b960-81a9509da0cd,1,1,0
5ccbde8d-d6ad-4ca7-ae4c-337256959583,1,1,0
6009ea30-2470-4e33-88d2-a92154173216,1,1,0
626b3a2f-622f-4335-8bdb-0e6b7966290b,1,1,0
62a55207-b92c-48ed-b28c-bb47dfd8b2f9,1,1,0
62fbf8ac-6b74-42ab-8bb0-28d066f0a4a6,1,1,0
6535f917-7f58-4992-8533-277d3d0e2bcd,1,1,0
65964886-9de1-44ad-af9d-2ad84c4f7556,1,1,0
ca996002-0704-4761-933c-efe15973a133,1,1,0
0118037e-7383-4459-aa9b-ad44d61ee868,1,1,1
03f68835-bd28-4478-9172-eb94d575f13c,1,1,0
042e689e-baeb-4ced-ba57-d9668eff2db9,1,1,0
042e689e-baeb-4ced-ba57-d9668eff2db9,2,1,0
042e689e-baeb-4ced-ba57-d9668eff2db9,3,1,0
0665d338-2dc7-48d3-b23c-b7a7059554cb,1,1,0
08b97207-84d0-4a7e-80ad-f236e6384415,1,1,0
097e0358-7798-41a9-b75c-65cebe31a254,1,1,0
09d8cffc-1cdd-4b30-8e34-e71fb9b36115,1,1,0
0b70eeb4-d7f2-44f5-89e5-596646055355,1,1,0
0b99300e-9ee0-4c36-890a-dc0460ef25c0,1,1,0
18fd8d5e-ac89-41a0-98ac-fab384bbf58f,1,1,0
5ee57b14-5ca4-459d-aa58-e9fb75b2cdeb,1,1,0
5f7a66a6-08b7-4ec2-b0a6-4b4ebafe8179,1,1,0
6110c9e4-d7c7-4488-b087-7cd0b09588d6,1,1,0
6185d8dd-9f87-47ea-bad8-f234acf4f87a,1,1,0
6232db20-44cf-4262-8e46-bf487662f0d6,1,1,0
64f0ae42-8d7d-4248-9306-583acc1341bb,1,1,0
66ce9264-34fa-4d15-b768-af51ebc2c78a,1,1,0
071c5b63-2e4d-4246-8596-f12f3511c9f3,1,1,0
08181349-b29d-43a9-810f-2f96b0bea120,1,1,0
083f21f2-0461-41f5-8741-645b9661cc8c,1,1,0
